-6	0
-5	1
-4	2
-3	3
-2	4
-1	5
0	6
3	7
<pad>	8
-22	9
-21	10
-20	11
-19	12
-18	13
-17	14
-16	15
-15	16
-14	17
-13	18
-12	19
-11	20
-10	21
-9	22
-8	23
-7	24
2	25
4	26
5	27
6	28
7	29
8	30
9	31
10	32
11	33
12	34
13	35
14	36
15	37
16	38
17	39
18	40
19	41
20	42
21	43
22	44
23	45
24	46
25	47
26	48
27	49
28	50
29	51
30	52
1	53
-24	54
-23	55
-33	56
-32	57
-31	58
-30	59
-29	60
-28	61
-27	62
-26	63
-25	64
-42	65
-41	66
-40	67
-39	68
-38	69
-37	70
-36	71
-35	72
-34	73
31	74
32	75
33	76
34	77
35	78
36	79
37	80
38	81
39	82
-43	83
40	84
41	85
42	86
43	87
44	88
45	89
46	90
47	91
48	92
-47	93
-46	94
-45	95
-44	96
-51	97
-50	98
-49	99
-48	100
49	101
50	102
51	103
52	104
53	105
54	106
55	107
56	108
57	109
58	110
59	111
-54	112
-53	113
-52	114
-59	115
-58	116
-57	117
-56	118
-55	119
-60	120
60	121
UNK	122
